peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
1,4638.2627307,4596.8655864,41.397144300000036,,,13:05:07
2,4639.0901632,4597.6922881,41.39787509999951,0.8267016999998305,72.57756939415064,13:05:08
3,4639.9266904,4598.5350101,41.39168029999928,0.8427220000003217,71.1978564698407,13:05:09
4,4640.7413645,4599.3436682,41.39769629999955,0.808658099999775,74.19699376042445,13:05:09
5,4641.5390712,4600.1412327,41.397838500000034,0.7975644999996803,75.22902536412298,13:05:10
6,4642.3724851,4600.9741808,41.398304299999836,0.8329481000000669,72.0332995537119,13:05:11
7,4643.219335,4601.8228007,41.396534299999985,0.8486198999999033,70.70303206418662,13:05:12
8,4644.1286172,4602.7313095,41.397307700000056,0.9085088000001633,66.04228819796705,13:05:13
9,4644.9616769,4603.5639353,41.3977416000007,0.8326257999997324,72.06118282669031,13:05:14
10,4645.805716,4604.407533,41.398183000000245,0.8435976999999184,71.12394924737917,13:05:15
11,4646.6670387,4605.2691126,41.397926100000404,0.8615796000003684,69.63953185518127,13:05:15
12,4647.5587254,4606.1607004,41.398025000000416,0.8915877999997974,67.29567183401751,13:05:16
13,4648.4820922,4607.0842364,41.39785579999989,0.9235360000002402,64.96768940245362,13:05:17
14,4649.3597011,4607.9618192,41.39788190000036,0.8775827999998,68.3696170891381,13:05:18
15,4650.2063643,4608.8084839,41.39788039999985,0.8466647000004741,70.86630634295537,13:05:19
16,4651.0575422,4609.6600799,41.39746230000037,0.8515959999995175,70.45594389832033,13:05:20
17,4651.8883263,4610.4906334,41.39769290000004,0.8305534999999509,72.24098146597846,13:05:21
18,4652.7015205,4611.3032589,41.39826159999939,0.8126255000006495,73.83474921713882,13:05:21
19,4653.5475614,4612.1498634,41.397697999999764,0.8466044999995574,70.87134547481305,13:05:22
20,4654.4127906,4613.0144654,41.39832520000073,0.8646019999996497,69.39609207476308,13:05:23
21,4655.1806703,4613.7830688,41.39760149999984,0.7686034000007567,78.06366716559012,13:05:24
22,4655.9667941,4614.56967,41.39712409999993,0.7866011999994953,76.27753428298672,13:05:25
23,4656.828308,4615.4302888,41.39801919999991,0.8606188000003385,69.71727784702867,13:05:26
24,4657.7050102,4616.3078948,41.397115400000075,0.8776060000000143,68.36780970047951,13:05:26
25,4658.580284,4617.1824451,41.39783889999944,0.8745503000000099,68.60668848892891,13:05:27
26,4659.457184,4618.0590212,41.39816280000014,0.8765760999995109,68.44813587780169,13:05:28
27,4660.3496706,4618.9516094,41.398061199999574,0.8925882000003185,67.22024781414162,13:05:29
28,4661.2437959,4619.8462334,41.39756250000028,0.8946239999995669,67.06728189723174,13:05:30
29,4662.1234835,4620.7267369,41.39674659999946,0.8805035000004864,68.1428296423204,13:05:31
30,4662.9689535,4621.5714551,41.39749839999968,0.8447181999999884,71.02960490255902,13:05:32
31,4663.8446501,4622.4479185,41.39673159999984,0.8764633999999205,68.45693727770657,13:05:33
32,4664.7235833,4623.3255449,41.39803840000059,0.8776263999998264,68.36622052391755,13:05:33
33,4665.5869058,4624.1891284,41.39777739999954,0.863583500000459,69.47793699157998,13:05:34
34,4666.4358619,4625.0376596,41.398202300000776,0.8485311999993428,70.71042290495208,13:05:35
35,4667.3277619,4625.9293306,41.398431300000084,0.891671000000315,67.28939261227382,13:05:36
36,4668.2342465,4626.8368411,41.397405400000025,0.9075105000001713,66.11493751310721,13:05:37
37,4669.112392,4627.7144292,41.39796279999973,0.8775881000001391,68.3692041858709,13:05:38
38,4669.9729277,4628.5760448,41.39688289999958,0.8616155999998227,69.6366221781643,13:05:39
39,4670.8525574,4629.4546268,41.3979305999992,0.8785820000002786,68.29186120359964,13:05:40
40,4671.7457127,4630.348169,41.397543699999915,0.8935421999995015,67.14847938914745,13:05:40
41,4672.6554333,4631.2577331,41.397700200000145,0.9095641000003525,65.96566421209539,13:05:41
42,4673.5224394,4632.1243094,41.39812999999958,0.866576299999906,69.23798862259042,13:05:42
43,4674.3975038,4632.9998978,41.39760599999954,0.875588400000197,68.52534821154151,13:05:43
44,4675.2731754,4633.8754089,41.39776649999931,0.8755111000000397,68.53139840259853,13:05:44
45,4676.1065534,4634.7084183,41.39813510000022,0.8330093999993551,72.02799872371963,13:05:45
46,4676.9819645,4635.5839788,41.39798569999948,0.8755605000005744,68.52753179244682,13:05:46
47,4677.8741891,4636.4765071,41.397681999999804,0.8925282999998672,67.22475914770314,13:05:47
48,4678.815676,4637.4185284,41.39714760000061,0.9420212999993964,63.69282732783053,13:05:48
49,4679.6934154,4638.2952321,41.3981832999998,0.8767037000006894,68.43817358128273,13:05:48
50,4680.5878355,4639.190303,41.397532500000125,0.8950709000000643,67.03379587024412,13:05:49
51,4681.5110368,4640.1127002,41.39833659999931,0.9223971999999776,65.04789910463893,13:05:50
52,4682.4195262,4641.0212188,41.398307400000704,0.9085185999992973,66.0415758136888,13:05:51
53,4683.2639088,4641.8665281,41.3973806999993,0.8453093000007357,70.97993598313396,13:05:52
54,4684.1574103,4642.7596527,41.39775760000066,0.8931245999992825,67.17987613379836,13:05:53
55,4685.0404638,4643.6425265,41.397937300000194,0.8828738000001977,67.95988282808547,13:05:54
56,4685.914849,4644.5167127,41.39813629999935,0.8741862000006222,68.63526328825289,13:05:55
57,4686.7449802,4645.3463309,41.398649300000216,0.8296181999994587,72.32242494202652,13:05:55
58,4687.5774715,4646.1794096,41.39806189999945,0.833078700000442,72.02200704443429,13:05:56
59,4688.359516,4646.9616112,41.397904800000106,0.7822016000000076,76.70656771860274,13:05:57
