Marker_Number,Local_Time,LSL_Time,HR,Detection_Delay_ms
1,1732538866.4994628,2377.4518378,0,0.012799999694834696
2,1732538867.560375,2378.5130729,56.554869628775805,0.015899999652901897
3,1732538868.6664655,2379.6189922,54.2461293352361,0.01430000020263833
4,1732538870.018228,2380.9714312,44.37107768917565,0.02170000016121776
5,1732538871.118199,2382.0714313,54.53932630841638,0.015900000107649248
6,1732538872.2373173,2383.1905101,53.60829384637528,0.0106999996205559
7,1732538873.3543217,2384.3077368,53.70744747747017,0.012599999990925426
8,1732538874.4317696,2385.3853485,55.67605813506776,0.011500000255182385
9,1732538875.504084,2386.4576185,55.948996149129044,0.004300000000512227
10,1732538876.5901742,2387.5443634,55.21089134212291,0.0047999997150327545
11,1732538878.7199144,2389.6745568,55.21089134212291,0.01740000016070553
12,1732538879.8208883,2390.7752044,54.51328179770399,0.02229999972769292
13,1732538880.895217,2391.8492574,55.857168750924636,0.011199999789823778
14,1732538881.927318,2392.8823138,58.084827081471325,0.011899999663000926
15,1732538882.948594,2393.9033629,58.764194858542545,0.015600000097037992
16,1732538884.067949,2395.022009,53.63690390627387,0.014799999917158857
17,1732538885.2817328,2396.236462,49.395225441042804,0.005099999725644011
18,1732538887.9381225,2398.8930646,49.395225441042804,0.022000000171829015
19,1732538890.1194837,2401.0738617,49.395225441042804,0.0152000002344721
20,1732538891.8983731,2402.8524854,33.73823906073206,0.022700000045006163
21,1732538893.8682525,2404.8225986,30.44855594678581,0.0047999997150327545
22,1732538896.218187,2407.1728509,30.44855594678581,0.005500000042957254
23,1732538898.6419146,2409.5962023,30.44855594678581,0.018900000213761814
24,1732538900.769557,2411.724214,30.44855594678581,0.022899999748915434
25,1732538901.87744,2412.8320908,54.14638583702951,0.06089999988034833
26,1732538902.9434795,2413.8982263,56.281081227109176,0.0183000001925393
27,1732538904.0526795,2415.0075141,54.08536997053093,0.013999999737279722
28,1732538906.5072014,2417.461738,54.08536997053093,0.015900000107649248
29,1732538907.7118304,2418.6661892,49.80942085424043,0.012599999990925426
30,1732538908.8830996,2419.837755,51.21506897559109,0.062200000229495345
31,1732538910.0260336,2420.9808958,52.48879561046851,0.017100000150094274
32,1732538911.1685061,2422.1225292,52.556229910384346,0.012599999990925426
33,1732538912.272794,2423.2272281,54.309681406731315,0.012200000128359534
34,1732538913.3272293,2424.2816031,56.91840888383049,0.024200000098062446
35,1732538914.403026,2425.3572533,55.77104869090797,0.014600000213249587
36,1732538915.5544999,2426.5090281,52.08609136421934,0.006799999937356915
37,1732538916.7710462,2427.7254633,49.33205629084781,0.02139999969585915
38,1732538917.9697404,2428.9238025,50.06906610425887,0.01650000012887176
39,1732538919.1421673,2430.0970247,51.137759755323856,0.011099999937869143
40,1732538920.2517,2431.2063834,54.08771025358095,0.015099999927770114
41,1732538921.3155723,2432.2698143,56.42666837199009,0.015600000097037992
42,1732538922.3891933,2433.3432855,55.87830970720083,0.0054000001910026185
43,1732538923.4966397,2434.4508761,54.184012700020446,0.015699999948992627
44,1732538924.6489596,2435.6031911,52.06672350617972,0.012699999842880061
45,1732538925.8233964,2436.7779896,51.062973667585176,0.004600000011123484
46,1732538927.0117562,2437.9667808,50.48340383340977,0.01669999983278103
47,1732538928.142378,2439.0969452,53.09104468220524,0.016900000446185004
48,1732538929.2164776,2440.1710316,55.85773036078525,0.015799999800947262
49,1732538930.2305179,2441.1851579,59.16411168092269,0.015800000255694613
50,1732538931.2528045,2442.2076333,58.68057891913075,0.019800000245595584
51,1732538932.316467,2443.2715264,56.39325649439658,0.011000000085914508
52,1732538933.4660952,2444.4205326,52.21190514975542,0.004900000021734741
53,1732538934.6205974,2445.5751754,51.974723306063524,0.016599999980826396
54,1732538935.587446,2446.5415628,62.08620193143727,0.015600000097037992
55,1732538936.5537758,2447.5085767,62.04651109884281,0.01649999967412441
56,1732538937.5716555,2448.5261098,58.96242639031364,0.013299999864102574
57,1732538938.5589964,2449.5134054,60.775772346126125,0.01339999971605721
58,1732538939.5274954,2450.4816615,61.966110321135886,0.012100000276404899
59,1732538940.540134,2451.4951151,59.20238404053906,0.013700000181415817
60,1732538941.6442413,2452.5989761,54.349539278958105,0.008800000159681076
61,1732538942.8410618,2453.7958226,50.13503872680695,0.01700000029813964
62,1732538943.9936433,2454.9484889,52.05709691799587,0.015600000097037992
63,1732538945.133674,2456.0886367,52.630540186717965,0.022700000045006163
64,1732538946.4679701,2457.4225355,44.976968418893556,0.016200000118260505
65,1732538947.5862436,2458.5403443,53.67495413921579,0.015999999959603883
66,1732538948.6965132,2459.6512217,54.00859438763335,0.012599999990925426
67,1732538949.7432141,2460.6978593,57.32797189399762,0.07040000036795391
68,1732538950.7751257,2461.7294988,58.14996468843552,0.006300000222836388
69,1732538951.7426453,2462.6974145,62.00715293849457,0.030299999707494862
70,1732538952.938156,2463.892825,50.20117283325002,0.02230000018244027
71,1732538955.5045311,2466.4588211,50.20117283325002,0.012799999694834696
72,1732538956.6682613,2467.622869,51.55557785810308,0.022600000193051528
73,1732538957.818995,2468.7735319,52.13372021188194,0.015999999959603883
74,1732538959.0050535,2469.9595382,50.58940877002151,0.016199999663513154
75,1732538960.1318493,2471.0861384,53.25792011844764,0.01649999967412441
76,1732538961.2422535,2472.1968746,54.01801770979508,0.012599999990925426
77,1732538962.320363,2473.2747149,55.667813825674294,0.01629999997021514
78,1732538963.3424094,2474.2966576,58.71001187705211,0.01249999968422344
79,1732538965.3928964,2476.3474157,58.71001187705211,0.014799999917158857
80,1732538966.4692457,2477.4237658,55.74634225020827,0.01720000000204891
81,1732538967.6627269,2478.6168368,50.27941949392998,0.004399999852466863
82,1732538968.837263,2479.7914914,51.078757825897135,0.004500000159168849
83,1732538970.0329394,2480.9874629,50.18436900767218,0.018799999907059828
84,1732538971.1493335,2482.10416,53.71697759994429,0.022700000045006163
85,1732538973.331885,2484.2864596,53.71697759994429,0.01339999971605721
86,1732538974.462293,2485.4165834,53.09108226436064,0.012099999821657548
87,1732538975.605022,2486.5596676,52.48791859334307,0.011799999811046291
88,1732538976.7252114,2487.6798406,53.56500555334022,0.018200000340584666
89,1732538977.8568046,2488.8115714,53.01657695820451,0.015699999948992627
90,1732538978.9878578,2489.942049,53.07780498506893,0.012699999842880061
91,1732538980.063249,2491.0182607,55.75084871374783,0.018500000351195922
92,1732538981.1164978,2492.0713899,56.96150797619194,0.005099999725644011
93,1732538982.2436109,2493.1977074,53.2791590843769,0.012199999673612183
94,1732538983.4053032,2494.3597481,51.63674274393926,0.01699999984339229
95,1732538984.5962722,2495.5507543,50.366521373229595,0.004600000011123484
96,1732538985.7890956,2496.7440905,50.28030853003079,0.009100000170292333
97,1732538986.9132476,2497.8674424,53.42250855896228,0.015999999959603883
98,1732538988.0253592,2498.9801597,53.91993913517212,0.014799999917158857
99,1732538989.081554,2500.036376,56.795463632730126,0.004699999863078119
100,1732538990.1038785,2501.0582292,58.72616488485292,0.012800000149582047
101,1732538991.1381447,2502.0928957,57.993332120000105,0.012599999990925426
102,1732538992.2137694,2503.1682035,55.78604489773022,0.004600000011123484
103,1732538993.3828366,2504.3377757,51.317227706511105,0.023099999907572055
104,1732538994.4748464,2505.4297102,54.93793615569606,0.021600000309263123
105,1732538995.5928888,2506.5476454,53.662520700312655,0.004800000169780105
106,1732538996.6889205,2507.6437863,54.750135438156484,0.07460000006176415
107,1732538997.75529,2508.7096137,56.29145689890634,0.012199999673612183
108,1732538998.7969677,2509.751778,57.57661744471636,0.0266000001829525
109,1732538999.8077989,2510.7619345,59.39568454715125,0.013299999864102574
110,1732539000.8172195,2511.7721618,59.39041088365746,0.023300000066228677
111,1732539001.8815506,2512.8365749,56.36829768022919,0.013099999705445953
112,1732539002.9792945,2513.9336375,54.695304763604234,0.015600000097037992
113,1732539004.109162,2515.0639032,53.07147631048337,0.004699999863078119
114,1732539005.2447412,2516.1988755,52.86476356454208,0.004600000011123484
115,1732539007.568124,2518.5225805,52.86476356454208,0.02230000018244027
116,1732539009.499602,2520.4541676,31.063904560922587,0.02429999995001708
117,1732539012.0919905,2523.0463605,31.063904560922587,0.013200000012147939
118,1732539014.5824664,2525.536995,31.063904560922587,0.008700000307726441
119,1732539016.3257887,2527.280574,34.41538161066172,0.017999999727180693
120,1732539018.1202474,2529.0750051,33.439637942349364,0.024500000108673703
121,1732539020.4817266,2531.4368589,33.439637942349364,0.024899999971239595
122,1732539021.6603909,2532.614653,50.93567130327074,0.01610000026630587
123,1732539022.8329399,2533.7878747,51.13482668618493,0.009699999736767495
124,1732539024.0010333,2534.9555416,51.38721059686646,0.012399999832268804
125,1732539025.1176355,2536.0723303,53.722138355979716,0.009200000022246968
126,1732539026.1747165,2537.1295511,56.75124651750054,0.0073999999585794285
127,1732539027.1953325,2538.1494493,58.829977638727314,0.006599999778700294
128,1732539028.2089097,2539.1640016,59.14464424050568,0.013000000308238668
129,1732539029.296071,2540.2505259,55.224550847230354,0.017800000023271423
130,1732539030.57999,2541.535023,46.70748070124988,0.010799999927257886
131,1732539031.765913,2542.721048,50.591857274292984,0.010700000075303251
