peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
22,7240.2718495,7227.6825695,12.589280000000144,0.8496971999993548,70.61339027602487,15:05:11
23,7241.1201408,7228.5303584,12.589782399999422,0.8477889000005234,70.77233495267862,15:05:12
24,7241.9063151,7229.3168824,12.589432699999634,0.7865240000000995,76.2850211817979,15:05:13
25,7242.6391196,7230.0512321,12.587887500000761,0.7343496999992567,81.70494248184582,15:05:14
26,7243.3804923,7230.7922142,12.588278100000025,0.7409821000001102,80.97361596183103,15:05:15
27,7244.1450969,7231.5555209,12.589575999999397,0.7633067000006122,78.605362693596,15:05:15
28,7244.9726518,7232.382993,12.589658799999597,0.8274720999997953,72.50999761806452,15:05:16
29,7245.6528309,7233.0630583,12.589772599999378,0.6800653000000239,88.22682174784966,15:05:17
30,7246.5775852,7233.9877479,12.5898373,0.9246895999995104,64.88663871642092,15:05:18
31,7247.394468,7234.805321,12.589147000000594,0.8175731000001178,73.38793314015756,15:05:19
32,7248.1609442,7235.5727189,12.588225299999976,0.7673979000001054,78.18629683504706,15:05:19
33,7248.952167,7236.3633613,12.588805700000194,0.7906424000002517,75.88765793483995,15:05:20
34,7249.6545042,7237.0661976,12.588306599999669,0.7028362999999445,85.36838521289344,15:05:21
35,7250.4672912,7237.8780711,12.589220099999693,0.8118734999998196,73.90313885108127,15:05:22
36,7251.3045517,7238.7148262,12.589725499999986,0.8367551000001185,71.70556833175142,15:05:22
37,7252.0459517,7239.4560596,12.589892099999815,0.7412334000000556,80.94616351610101,15:05:23
38,7252.8276952,7240.2379737,12.589721499999541,0.7819140999999945,76.73477176073487,15:05:24
39,7253.5729532,7240.9831485,12.58980469999915,0.7451748000003136,80.51802073818754,15:05:25
40,7254.4128737,7241.8235143,12.589359399999921,0.8403657999997449,71.39747952619943,15:05:26
41,7255.2527185,7242.6633506,12.58936790000007,0.8398362999996607,71.44249420991238,15:05:26
42,7256.0646599,7243.4745447,12.590115200000582,0.8111940999997387,73.96503500212752,15:05:27
43,7256.7885777,7244.1991994,12.589378300000135,0.7246547000004284,82.79805540482181,15:05:28
44,7257.479875,7244.8901534,12.589721600000303,0.6909539999996923,86.83646089323851,15:05:29
45,7258.3660211,7245.7766008,12.589420299999802,0.8864474000001792,67.68591120013198,15:05:29
46,7259.2036014,7246.6154629,12.588138499999332,0.8388621000003695,71.52546288594225,15:05:30
47,7259.9811234,7247.3927069,12.588416499999767,0.7772439999998824,77.19583554200365,15:05:31
48,7260.7291409,7248.1401859,12.588955000000169,0.7474789999996574,80.26981360015131,15:05:32
49,7261.5223711,7248.9329636,12.589407499999652,0.7927777000004426,75.68325900181918,15:05:33
50,7262.3202078,7249.7304751,12.58973270000024,0.7975114999999278,75.23402483852011,15:05:33
51,7263.0723521,7250.4821496,12.590202499999577,0.7516745000002629,79.82178456230591,15:05:34
52,7263.9197429,7251.3314077,12.588335199999165,0.8492581000000428,70.64990018934995,15:05:35
53,7264.7388981,7252.1489228,12.589975300000333,0.8175150999995822,73.39313977201236,15:05:36
54,7265.562008,7252.9723003,12.589707699999963,0.8233774999998786,72.87058487754261,15:05:37
55,7266.2945964,7253.7058885,12.588707900000372,0.7335881999997582,81.78975616022691,15:05:37
56,7267.1872666,7254.5976369,12.589629699999932,0.8917484000003242,67.2835521768003,15:05:38
57,7267.9811615,7255.3918086,12.58935289999954,0.7941717000003337,75.55041309073944,15:05:39
58,7268.7616865,7256.1716196,12.590066900000238,0.7798109999994267,76.94172049386853,15:05:40
59,7269.602035,7257.0122319,12.589803099999699,0.84061230000043,71.37654302699272,15:05:41
60,7270.381838,7257.7923138,12.589524200000596,0.780081899999459,76.91500084804123,15:05:42
61,7271.2183525,7258.6282513,12.59010120000039,0.8359375,71.77570093457943,15:05:42
62,7272.035057,7259.445791,12.589265999999952,0.8175397000004523,73.39093135167235,15:05:43
63,7272.8351255,7260.2457209,12.589404599999398,0.7999299000002793,75.00657245088482,15:05:44
64,7273.5490158,7260.9588858,12.5901300000005,0.7131648999993558,84.13201490995168,15:05:45
65,7274.3328982,7261.7440646,12.588833600000726,0.7851787999998123,76.41571575800867,15:05:45
66,7275.0929925,7262.5040441,12.588948399999936,0.7599795000005543,78.94949797982214,15:05:46
67,7275.9737867,7263.3842152,12.589571500000602,0.880171099999643,68.16856404399591,15:05:47
68,7276.9080752,7264.3178771,12.590198099999725,0.9336619000005157,64.26309138240177,15:05:48
69,7277.7556437,7265.1659604,12.589683300000615,0.8480832999994163,70.74776734790237,15:05:49
70,7278.6387777,7266.0490967,12.589681000000382,0.8831362999999328,67.93968269677576,15:05:50
71,7279.3941808,7266.8038951,12.590285700000095,0.7547984000002543,79.49142446510191,15:05:51
72,7280.1094688,7267.519705,12.589763800000583,0.7158098999998401,83.82113742770727,15:05:51
73,7280.9298556,7268.3394346,12.590421000000788,0.819729599999846,73.19486816141722,15:05:52
74,7281.6712043,7269.0825552,12.588649100000112,0.7431206000001112,80.74059580637521,15:05:53
75,7282.5343589,7269.9441182,12.590240700000322,0.8615630000003875,69.64087362151463,15:05:54
76,7283.3264048,7270.7360071,12.590397699999812,0.7918889000002309,75.7682043528865,15:05:54
77,7284.1107381,7271.5213494,12.5893887000002,0.7853422999996837,76.39980681038594,15:05:55
78,7284.9128052,7272.3241447,12.588660499999605,0.8027953000000707,74.73885310488828,15:05:56
79,7285.7497089,7273.1595207,12.59018819999983,0.8353759999999966,71.82394514565925,15:05:57
80,7286.5056298,7273.9157149,12.589914899999712,0.7561942000002091,79.34469743352092,15:05:58
81,7287.3345531,7274.7445587,12.58999440000025,0.8288437999999587,72.38999676417075,15:05:58
82,7288.1917485,7275.6021236,12.589624900000672,0.8575648999994883,69.96555012925063,15:05:59
83,7288.9821178,7276.3934256,12.588692199999969,0.7913020000005417,75.82440079762078,15:06:00
84,7289.7026491,7277.1134446,12.58920450000005,0.7200189999994109,83.33113431735703,15:06:01
85,7290.485085,7277.8963948,12.588690200000201,0.782950200000414,76.63322648103069,15:06:02
86,7291.2422784,7278.6519591,12.590319300000374,0.7555642999996053,79.41084564216618,15:06:02
87,7291.9761253,7279.3865266,12.589598699999442,0.734567500000594,81.68071688435914,15:06:03
88,7292.8011957,7280.2111168,12.590078899999753,0.824590199999875,72.76341630061707,15:06:04
89,7293.6389225,7281.0502807,12.588641800000005,0.8391639000001305,71.49973920469013,15:06:05
90,7294.4500503,7281.8612433,12.588807000000088,0.8109625999995842,73.98614929964805,15:06:06
91,7295.2375054,7282.6480091,12.589496300000064,0.7867658000004667,76.26157618946377,15:06:06
92,7296.1226495,7283.5338275,12.588821999999709,0.885818400000062,67.73397346453382,15:06:07
93,7297.0123961,7284.421736,12.590660099999695,0.8879084999998668,67.57453048372552,15:06:08
94,7297.7865614,7285.1964689,12.590092500000537,0.7747328999994352,77.44604624386514,15:06:09
95,7298.5703716,7285.9813532,12.589018399999986,0.784884300000158,76.44438804545833,15:06:10
