peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
51,6987.6711176,7034.9021956,-47.2310779999998,0.8325869999998758,72.06454100293297,17:35:50
52,6988.5033302,7035.7339211,-47.2305908999997,0.8317255000001751,72.13918534418792,17:35:51
53,6989.3653965,7036.596344,-47.230947499999274,0.8624228999997285,69.5714364727779,17:35:52
54,6990.1469145,7037.3769602,-47.23004570000012,0.7806162000006225,76.86235566204257,17:35:53
55,6990.9469423,7038.1785638,-47.231621500000074,0.8016035999999076,74.84996324867667,17:35:53
56,6991.8099501,7039.0397509,-47.2298008000007,0.8611871000002793,69.67127120225156,17:35:54
57,6992.6555874,7039.885626,-47.230038600000626,0.8458750999998301,70.93245799529038,17:35:55
58,6993.5139104,7040.7435207,-47.22961029999988,0.8578946999996333,69.93865331027881,17:35:56
59,6994.3465062,7041.5769577,-47.23045150000053,0.8334370000002309,71.99104431406738,17:35:57
60,6995.2238115,7042.4535452,-47.2297337,0.8765874999999141,68.44724571135896,17:35:58
61,6996.1147309,7043.3452801,-47.230549200000496,0.8917349000003014,67.28457078441106,17:35:58
62,6996.9925713,7044.2239015,-47.23133019999932,0.8786213999992469,68.28879879325888,17:35:59
63,6997.8229581,7045.0534625,-47.23050440000043,0.8295610000004672,72.3274117273669,17:36:00
64,6998.6698273,7045.9000497,-47.23022239999955,0.8465871999997034,70.87279372995602,17:36:01
65,6999.5460874,7046.7760763,-47.229988899999626,0.8760265999999319,68.49107093323954,17:36:02
66,7000.3913154,7047.6225675,-47.23125209999944,0.8464911999999458,70.88083136600102,17:36:03
67,7001.2132424,7048.4435824,-47.23034000000007,0.8210149000005913,73.08028149057562,17:36:04
68,7002.0668438,7049.2974253,-47.23058149999997,0.8538429000000178,70.27053805799491,17:36:04
69,7002.9174931,7050.1480614,-47.230568300000414,0.8506360999999742,70.53544988274282,17:36:05
70,7003.7929108,7051.0226134,-47.229702600000564,0.8745520000002216,68.60655512763654,17:36:06
71,7004.5986678,7051.8293161,-47.23064830000021,0.8067026999997324,74.37684291873562,17:36:07
72,7005.4557557,7052.6868963,-47.23114059999989,0.8575801999995747,69.96430188107159,17:36:08
73,7006.3487848,7053.5792847,-47.23049989999981,0.8923884000005273,67.23529799352451,17:36:09
74,7007.1941737,7054.4242683,-47.230094600000484,0.8449835999999777,71.00729528951992,17:36:10
75,7008.0101918,7055.2402309,-47.230039099999885,0.8159625999996933,73.53278201724264,17:36:10
76,7008.8425592,7056.0728054,-47.23024619999978,0.8325745000001916,72.06562295624738,17:36:11
77,7009.6895159,7056.9198779,-47.23036200000024,0.8470724999997401,70.83218968862572,17:36:12
78,7010.5660239,7057.7953851,-47.22936120000031,0.8755072000003565,68.53170367985045,17:36:13
